from,to
CocaCola,International Sustainability and Carbon Certification
CocaCola,The Nature Conservatory of People
CocaCola,WWF
CocaCola,Water Aid
CocaCola,World Resources Institute 
CocaCola,World Vision 
CocaCola,Water for People
Nestle,WWF
Nestle,Unesco
Nestle,WHO
Nestle,Fairtrade 
Nestle,Water Resources Group
Nestle,Partnership for a healthier America
Nestle,Every woman every child
Nestle,WEF
Unilever,Save the Children
Unilever ,Oxfam
Unilever,WEF 
Danone,B.A.U.M.
Danone,ISCC