id,name,Type
Nestle,Nestle,1
CocaCola,CocaCola,1
Unilever,Unilever,1
Danone,Danone,1
Mars,Mars,1
Mondelez,Mondelez,1
Kellogs,Kellogs,1
PepsiCo,PepsiCo,1
General Mills ,General Mills,1
B.A.U.M.,B.A.U.M.,2
ISCC,International Sustainability and Carbon Certification,2
Nature Conservatory of People,The Nature Conservatory of People,2
WWF,WWF,2
Water Aid,Water Aid,2
World Resources Institute,World Resources Institute ,2
World Vision,World Vision ,2
Water for People,Water for People,2
WWF,WWF,2
Unesco,Unesco,2
WHO,World Health Organisaion,2
Fairtrade ,Fairtrade International,2
Water Resources Group,Water Resources Group,2
Partnership for a healthier America,Partnership for a healthier America,2
Every woman every child,Every women every child,2
WEF,World Economic Forum,2
Save the Children,Save the Children,2
Oxfam,Oxfam,2